,CLASSNAME,landfire140,landfire200,tau,k
1335,Tropical Pacific Bush fruit and Berries,,7835,,
1336,Tropical Pacific Forest Plantation,,9353,,
1337,Tropical Pacific Orchard,,7834,,
1338,West Gulf Coastal Plain Flatwoods Pond,,9993,,
1339,West Gulf Coastal Plain Herbaceous Seep and Bog,,9994,,
1340,West Gulf Coastal Plain Large River Floodplain Forest,,9282,,
1341,West Gulf Coastal Plain Large River Floodplain Herbaceous,,9783,,
1342,West Gulf Coastal Plain Large River Floodplain Shrubland,,9782,,
1343,West Gulf Coastal Plain Near-Coast Large River Swamp,,9283,,
1344,West Gulf Coastal Plain Small Stream and River Forest,,9284,,
1345,West Gulf Coastal Plain Small Stream and River Herbaceous,,9785,,
1346,West Gulf Coastal Plain Small Stream and River Shrubland,,9784,,
1347,Western Cool Temperate Developed Ruderal Deciduous Forested Wetland,,7940,,
1348,Western Cool Temperate Developed Ruderal Evergreen Forested Wetland,,7941,,
1349,Western Cool Temperate Developed Ruderal Herbaceous Wetland,,7944,1,0
1350,Western Cool Temperate Developed Ruderal Mixed Forested Wetland,,7942,0.44,0.025
1351,Western Cool Temperate Developed Ruderal Shrub Wetland,,7943,1,0
1352,Western Cool Temperate Row Crop-Close Grown Crop,,7963,,
1353,Western Great Plains Badlands,,9023,,
1354,Western Great Plains Cliff and Outcrop,,9024,,
1355,Western Great Plains Closed Depression Wetland,,9025,,
1356,Western Great Plains Open Freshwater Depression Wetland,,9027,,
1357,Western Great Plains Riparian Herbaceous,,9529,,
1358,Western Great Plains Riparian Shrubland,,9528,,
1359,Western Great Plains Riparian Woodland,,9028,,
1360,Western Great Plains Saline Depression Wetland,,9029,,
1361,Western Great Plains Sand Prairie,,7148,,
1362,Western Great Plains Sandhill Steppe,,7094,,
1363,Western North American Ruderal Wet Meadow & Marsh,,9829,,
1364,Western North American Ruderal Wet Shrubland,,9329,,
1365,Western Pacific Mangrove,,4612,,
1366,Western Warm Temperate Developed Ruderal Deciduous Forested Wetland,,7945,,
1367,Western Warm Temperate Developed Ruderal Evergreen Forested Wetland,,7946,,
1368,Western Warm Temperate Developed Ruderal Herbaceous Wetland,,7949,,
1369,Western Warm Temperate Developed Ruderal Mixed Forested Wetland,,7947,,
1370,Western Warm Temperate Developed Ruderal Shrub Wetland,,7948,,
1371,Western Warm Temperate Row Crop-Close Grown Crop,,7983,,
1372,Willamette Valley Upland Prairie,,7120,,
