,CLASSNAME,landfire140,landfire200,tau,k
22,Western Cool Temperate Developed Ruderal Mixed Forest,3922,7922,,
30,Eastern Cool Temperate Developed Ruderal Deciduous Forest,3930,7930,,
31,Eastern Cool Temperate Developed Ruderal Evergreen Forest,3931,7931,,
32,Eastern Cool Temperate Developed Ruderal Mixed Forest,3932,7932,,
33,Eastern Cool Temperate Developed Ruderal Shrubland,3933,7933,,
34,Eastern Cool Temperate Developed Ruderal Grassland,3934,7934,,
35,Eastern Warm Temperate Developed Ruderal Deciduous Forest,3935,7935,,
36,Eastern Warm Temperate Developed Ruderal Evergreen Forest,3936,7936,,
37,Eastern Warm Temperate Developed Ruderal Mixed Forest,3937,7937,,
38,Eastern Warm Temperate Developed Ruderal Shrubland,3938,7938,,
39,Eastern Warm Temperate Developed Ruderal Grassland,3939,7939,,
40,North Pacific Avalanche Chute Shrubland,3083,7083,,
41,North Pacific Montane Shrubland,3084,7084,,
42,Northern Rocky Mountain Avalanche Chute Shrubland,3168,7168,,
44,Western Great Plains Floodplain Forest and Woodland,3162,9026,,
45,Western Great Plains Floodplain Shrubland,3253,9526,,
46,Western Great Plains Floodplain Herbaceous,3254,9527,,
47,Tamaulipan Riparian Woodland,3476,7476,,
48,Tamaulipan Riparian Shrubland,3562,7562,,
49,Edwards Plateau Riparian Shrubland,3563,7563,,
50,Great Plains Prairie Pothole,3482,7482,,
51,Eastern Great Plains Wet Meadow-Prairie-Marsh,3488,7488,,
52,Great Lakes Wet-Mesic Lakeplain Prairie,3411,7411,,
53,Southern Coastal Plain Seepage Swamp and Baygall Woodland,3461,7461,,
54,West Gulf Coastal Plain Seepage Swamp and Baygall,3462,7462,,
55,Southern Coastal Plain Seepage Swamp and Baygall Shrubland,3571,7571,,
56,Atlantic Coastal Plain Peatland Pocosin and Canebrake Shrubland,3249,7249,,
57,Atlantic Coastal Plain Peatland Pocosin and Canebrake Woodland,3452,7452,,
58,Northern Atlantic Coastal Plain Grassland,3399,7399,,
59,Northern Atlantic Coastal Plain Heathland,3522,7522,,
60,Southern Appalachian Grass Bald,3247,7247,,
61,Acadian-Appalachian Subalpine Heath-Krummholz,3289,7289,,
