veg,tau,k,CLASSNAME,EVT_Fuel,EVT_Fuel_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3229,0.2,0.04,Pinus albicaulis Woodland Alliance,2229,Tr Pinus albicaulis Woodland Alliance,Tree,640,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3230,0.16,0.07400000000000001,Pinus sabiniana Woodland Alliance,2230,Tr Pinus sabiniana Woodland Alliance,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3231,0.16,0.07400000000000001,Sequoiadendron giganteum Forest Alliance,2231,Tr Sequoiadendron giganteum Forest Alliance,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3232,0.2,0.04,Abies grandis Forest Forest,2232,Tr Abies grandis Forest Forest,Tree,643,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3255,0.3,0.033,Inter-Mountain Basins Montane Riparian Shrubland,2154,Tr Inter-Mountain Basins Montane Riparian Systems,Shrub,635,Riparian,Western Riparian Woodland and Shrubland,SAF 235: Cottonwood-Willow,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous shrubland
3257,1.0,0.0,California Central Valley Riparian Herbaceous,2151,Tr California Central Valley Riparian Woodland and Shrubland,Herb,635,Riparian,Western Riparian Woodland and Shrubland,SRM 203: Riparian Woodland,Tree-dominated,Open tree canopy,Perennial graminoid grassland
3260,0.3,0.033,Mediterranean California Lower Montane Black Oak Forest and Woodland,2260,Tr Mediterranean California Lower Montane Black Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Deciduous closed tree canopy
3261,0.3,0.033,Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,2261,Tr Mediterranean California Lower Montane Black Oak - Conifer Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous closed tree canopy
3264,0.44,0.025,California Lower Montane Blue Oak Forest and Woodland,2264,Tr California Lower Montane Blue Oak Forest and Woodland,Tree,610,Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Deciduous closed tree canopy
3265,0.44,0.025,California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,2265,Tr California Lower Montane Blue Oak-Foothill Pine Forest and Woodland,Tree,610,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy
3292,1.0,0.0,Open Water,11,Ba Open Water,Water,11,Open Water,Open Water,LF 11: Water,Non-vegetated,Non-vegetated,Non-vegetated
3293,1.0,0.0,Snow-Ice,12,Ba Snow-Ice,Barren,12,Snow-Ice,Snow-Ice,LF 12: Snow-Ice,Non-vegetated,Non-vegetated,Non-vegetated
3294,1.0,0.0,Barren,31,Bab Barren,Barren,31,Barren,Barren,LF 31: Barren,Non-vegetated,Non-vegetated,Non-vegetated
3295,1.0,0.0,Quarries-Strip Mines-Gravel Pits,32,Bab Quarries-Strip Mines-Gravel Pits,Barren,32,Quarries-Strip Mines-Gravel Pits,Quarries-Strip Mines-Gravel Pits,LF 20: Developed,Non-vegetated,Non-vegetated,Developed
3296,1.0,0.0,Developed-Low Intensity,2902,Bau Developed-Low Intensity,Developed,22,Developed-Low Intensity,Developed-Low Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed
3297,1.0,0.0,Developed-Medium Intensity,2903,Bau Developed-Medium Intensity,Developed,23,Developed-Medium Intensity,Developed-Medium Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed
3298,1.0,0.0,Developed-High Intensity,2904,Bau Developed-High Intensity,Developed,24,Developed-High Intensity,Developed-High Intensity,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed
3299,1.0,0.0,Developed-Roads,2905,Bau Developed-Roads,Developed,25,Developed-Roads,Developed-Roads,LF 20: Developed,No Dominant Lifeform,No Dominant Lifeform,Developed
3900,0.44,0.025,Western Cool Temperate Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3901,0.2,0.04,Western Cool Temperate Urban Evergreen Forest,2914,Dtc Urban Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3902,0.2,0.04,Western Cool Temperate Urban Mixed Forest,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3903,1.0,0.0,Western Cool Temperate Urban Herbaceous,2916,Dgr Urban Herbaceous,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland
3904,0.2,0.04,Western Cool Temperate Urban Shrubland,2917,Dsh Urban Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3910,0.44,0.025,Western Warm Temperate Urban Deciduous Forest,2913,Dtd Urban Deciduous Forest,Tree,13,Developed,Developed-Upland Deciduous Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3911,0.44,0.025,Western Warm Temperate Urban Evergreen Forest,2914,Dtc Urban Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3912,0.2,0.04,Western Warm Temperate Urban Mixed Forest,2915,Dtm Urban Mixed Deciduous-Evergreen Forest,Tree,15,Developed,Developed-Upland Mixed Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3913,1.0,0.0,Western Warm Temperate Urban Herbaceous,2916,Dgr Urban Herbaceous,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland
3914,0.3,0.033,Western Warm Temperate Urban Shrubland,2917,Dsh Urban Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3921,0.2,0.04,Western Cool Temperate Developed Ruderal Evergreen Forest,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3923,1.0,0.0,Western Cool Temperate Developed Ruderal Shrubland,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3924,1.0,0.0,Western Cool Temperate Developed Ruderal Grassland,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland
3926,0.3,0.033,Western Warm Temperate Developed Ruderal Evergreen Forest,2924,Dtc Developed Ruderal Evergreen Forest,Tree,14,Developed,Developed-Upland Evergreen Forest,LF 20: Developed,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3928,0.3,0.033,Western Warm Temperate Developed Ruderal Shrubland,2926,Dsh Developed Ruderal Shrubland,Shrub,17,Developed,Developed-Upland Shrubland,LF 20: Developed,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3929,1.0,0.0,Western Warm Temperate Developed Ruderal Grassland,2927,Dgr Developed Ruderal Grassland,Herb,16,Developed,Developed-Upland Herbaceous,LF 20: Developed,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Herbaceous - grassland
3960,0.44,0.025,Western Cool Temperate Orchard,2960,Dab Orchard,Tree,60,Agricultural,Agricultural-Orchard,LF 80: Agriculture,Tree-dominated,Open tree canopy,Deciduous open tree canopy
3961,0.3,0.033,Western Cool Temperate Vineyard,2961,Da Vineyard,Agriculture,61,Agricultural,Agricultural-Vineyard,LF 80: Agriculture,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3964,1.0,0.0,Western Cool Temperate Row Crop,2964,Da Row Crop,Agriculture,64,Agricultural,Agricultural-Row Crop,LF 80: Agriculture,Herbaceous / Nonvascular-dominated,Herbaceous - grassland,Annual Graminoid/Forb
